d-08-2026 10:45:33 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 2
d-08-2026 10:45:33 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:45:33 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:45:34 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:45:34 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:45:35 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:45:35 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:45:36 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:45:36 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:45:36 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 2
d-08-2026 10:45:36 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:45:37 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:45:37 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:45:37 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:45:37 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:45:39 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:45:39 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:45:39 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 2
d-08-2026 10:45:39 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:45:40 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:45:40 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:45:41 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:45:41 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:45:42 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:45:42 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:45:42 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 2
d-08-2026 10:45:42 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
